CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score
335676,"HAVEN MANOR HEALTH CARE CENTER, L L C",FAR ROCKAWAY,Queens,NY,2.0,,1.86239,0.9033333333333334,0,45.0,44.0
335168,OCEANVIEW NURSING & REHABILITATION CARE CENTER,FAR ROCKAWAY,Queens,NY,2.0,4.0,2.46133,0.9568627450980391,0,45.0,40.0
335387,PENINSULA NURSING AND REHABILITATION CENTER,FAR ROCKAWAY,Queens,NY,1.0,4.0,2.74497,0.915,0,92.25,119.0
335165,PREMIER NSG & REHAB CENTER OF FAR ROCKAWAY,FAR ROCKAWAY,Queens,NY,3.0,3.0,2.59582,0.9540983606557377,0,32.0,28.0
335448,QUEENS NASSAU REHABILITATION AND NURSING CENTER,FAR ROCKAWAY,Queens,NY,2.0,2.0,3.38475,0.9745,0,45.75,24.0
335571,ROCKAWAY CARE CENTER,FAR ROCKAWAY,Queens,NY,1.0,1.0,2.95911,0.9035087719298246,0,112.25,143.0
335737,"WEST LAWRENCE CARE CENTER, L L C",FAR ROCKAWAY,Queens,NY,1.0,4.0,2.34458,0.7423255813953488,0,77.0,80.0
335349,CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,FLUSHING,Queens,NY,4.0,3.0,3.53593,0.9197247706422018,0,19.0,20.0
335446,CYPRESS GARDEN CENTER FOR NURSING AND REHAB,FLUSHING,Queens,NY,4.0,5.0,2.53417,0.9762589928057553,0,23.0,28.0
335426,FRANKLIN CENTER FOR REHABILITATION AND NURSING,FLUSHING,Queens,NY,4.0,3.0,3.25496,0.974375,0,21.0,24.0
335294,LONG ISLAND CARE CENTER INC,FLUSHING,Queens,NY,4.0,5.0,3.00049,0.9540000000000001,0,25.0,20.0
335143,MEADOW PARK REHABILITATION AND HEALTH CENTER L L C,FLUSHING,Queens,NY,3.0,4.0,2.61594,0.9503703703703704,0,27.0,36.0
335379,REGO PARK NURSING HOME,FLUSHING,Queens,NY,3.0,3.0,2.41457,0.943,0,28.0,28.0
335133,SAPPHIRE CENTER FOR REHAB & NURSING,FLUSHING,Queens,NY,1.0,5.0,3.1025,0.9484581497797357,0,90.25,8.0
335804,THE PAVILION AT QUEENS FOR REHABILITATION & NRSING,FLUSHING,Queens,NY,2.0,5.0,2.68492,0.9562913907284769,0,59.0,68.0
335799,UNION PLAZA CARE CENTER,FLUSHING,Queens,NY,4.0,4.0,2.84309,0.9507142857142856,0,13.0,16.0
335154,WATERVIEW NURSING CARE CENTER,FLUSHING,Queens,NY,2.0,1.0,2.11094,0.884,0,57.0,60.0
335266,"WOODCREST REHAB & RESIDENTIAL H C CENTER, L L C",FLUSHING,Queens,NY,3.0,2.0,3.35837,0.9715,0,34.0,32.0
335146,FAIRVIEW NURSING CARE CENTER INC,FOREST HILLS,Queens,NY,3.0,5.0,3.3927,0.9854999999999999,0,36.0,32.0
335139,FOREST HILLS CARE CENTER,FOREST HILLS,Queens,NY,3.0,5.0,3.2674,0.884,0,26.0,20.0
335310,FOREST VIEW CENTER FOR REHABILITATION & NURSING,FOREST HILLS,Queens,NY,5.0,5.0,3.5702,0.9893750000000001,0,7.0,4.0
335299,"NEW GLEN OAKS NURSING HOME, INC",GLEN OAKS,Queens,NY,3.0,4.0,3.54788,0.9333333333333333,0,29.0,32.0
335333,HOLLIS PARK MANOR NURSING HOME,HOLLIS,Queens,NY,5.0,5.0,3.92634,0.95625,0,8.0,4.0
335503,HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE,HOLLIS,Queens,NY,2.0,3.0,3.8475,0.9566878980891719,0,61.25,24.0
335820,REGAL HEIGHTS REHABILITATION AND HEALTH CARE CTR,JACKSON HEIGHTS,Queens,NY,3.0,5.0,3.19304,0.975,0,38.0,40.0
335631,CHAPIN HOME FOR THE AGING,JAMAICA,Queens,NY,5.0,5.0,3.91511,0.6195454545454546,0,7.0,8.0
335505,HIGHLAND CARE CENTER,JAMAICA,Queens,NY,4.0,3.0,2.90757,0.9596875,0,22.0,16.0
335856,JAMAICA HOSPITAL MEDICAL CENTER T C U,JAMAICA,Queens,NY,5.0,,,,0,0.0,0.0
335436,JAMAICA HOSPITAL NURSING HOME CO INC,JAMAICA,Queens,NY,4.0,5.0,3.60088,0.9712389380530974,0,13.0,0.0
335336,MARGARET TIETZ CENTER FOR NURSING CARE INC,JAMAICA,Queens,NY,5.0,5.0,2.59006,0.9590000000000001,0,6.0,0.0
335770,N Y S VETERANS HOME IN N Y C,JAMAICA,Queens,NY,4.0,4.0,4.86194,0.8696,0,22.0,20.0
335724,SILVERCREST,JAMAICA,Queens,NY,2.0,3.0,2.76658,0.938125,0,55.0,60.0
335531,HILLSIDE MANOR REHAB & EXTENDED CARE CENTER,JAMAICA EST,Queens,NY,2.0,4.0,3.39639,0.9159999999999999,0,61.5,24.0
